hostname,id,location,family,platformId,role,serialNumber,upTime,errorCode
AP-OUTDOOR-20,41f21491-b948-4c80-953f-1a12d13be0b5,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AD06,15days 17:44:45.880,null
B6-Fl2_Outdoor-1,19783577-1ea2-4890-a4fc-8fe61490289e,,Unified AP,AIR-AP1562I-S-K9,ACCESS,FGL2304B3LT,7days 03:55:45.060,null
B6-Fl2_Outdoor-2,b57cabe9-8bee-434e-aaea-9b8653f871ae,,Unified AP,AIR-AP1562I-S-K9,ACCESS,FGL2304B3LX,7days 03:55:46.060,null
PTT-HO-PTT3-F01-AP2700-1,be6c9d0b-0aef-4cfc-b4dc-2af4f2894252,,Unified AP,AIR-CAP2702I-E-K9,ACCESS,FGL1839X86Q,50days 12:41:09.060,null
PTT-OUTDOOR-AP2800-TEMP,ee6f9bad-dbd4-436e-b0c8-883d904c8cf1,,Unified AP,AIR-AP2802I-S-K9,ACCESS,FGL2242A2AF,5days 20:27:45.060,null
PTT-TH-HO-Auditorium-AP3802I-1,8584cfa1-c11e-420c-a864-da55b47e5499,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC9D,15days 20:46:58.680,null
PTT-TH-HO-Auditorium-AP3802I-2,e6a5950f-3cfe-47b1-b0e6-a51bd667abf6,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABX4,15days 20:12:32.970,null
PTT-TH-HO-Auditorium-AP3802I-3,9b47efee-5bc9-4d77-8ac3-bd8cfc8db7d2,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC8U,109days 20:16:56.970,null
PTT-TH-HO-Auditorium-AP3802I-4,282b99c7-86e6-48e1-9c23-9370da3e0f1a,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC8Q,15days 20:14:45.660,null
PTT-TH-HO-Auditorium-AP3802I-5,9a22a048-406d-441c-ad38-e6277ffa612f,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABTW,12days 20:16:16.080,null
PTT-TH-HO-Auditorium-AP3802I-6,c1402b0d-0096-404e-ad8e-11cff5033907,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABU9,15days 20:13:59.570,null
