hostname,id,location,family,platformId,role,serialNumber,upTime,errorCode
AP-OUTDOOR-20,41f21491-b948-4c80-953f-1a12d13be0b5,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AD06,"8 days, 10:08:44.440",null
B6-Fl2_Outdoor-1,19783577-1ea2-4890-a4fc-8fe61490289e,,Unified AP,AIR-AP1562I-S-K9,ACCESS,FGL2304B3LT,"8 days, 10:09:26.720",null
B6-Fl2_Outdoor-2,b57cabe9-8bee-434e-aaea-9b8653f871ae,,Unified AP,AIR-AP1562I-S-K9,ACCESS,FGL2304B3LX,"8 days, 10:09:26.720",null
PTT-HO-PTT3-F01-AP2700-1,be6c9d0b-0aef-4cfc-b4dc-2af4f2894252,,Unified AP,AIR-CAP2702I-E-K9,ACCESS,FGL1839X86Q,"9 days, 17:48:08.720",null
PTT-OUTDOOR-AP2800-TEMP,ee6f9bad-dbd4-436e-b0c8-883d904c8cf1,,Unified AP,AIR-AP2802I-S-K9,ACCESS,FGL2242A2AF,"68 days, 04:11:28.720",null
PTT-TH-HO-Auditorium-AP3802I-1,8584cfa1-c11e-420c-a864-da55b47e5499,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC9D,"69 days, 02:02:43.400",null
PTT-TH-HO-Auditorium-AP3802I-2,e6a5950f-3cfe-47b1-b0e6-a51bd667abf6,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABX4,"69 days, 01:25:32.460",null
PTT-TH-HO-Auditorium-AP3802I-3,9b47efee-5bc9-4d77-8ac3-bd8cfc8db7d2,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC8U,"69 days, 01:23:56.700",null
PTT-TH-HO-Auditorium-AP3802I-4,282b99c7-86e6-48e1-9c23-9370da3e0f1a,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC8Q,"69 days, 01:27:40.390",null
PTT-TH-HO-Auditorium-AP3802I-5,9a22a048-406d-441c-ad38-e6277ffa612f,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABTW,"9 days, 03:04:37.220",null
PTT-TH-HO-Auditorium-AP3802I-6,c1402b0d-0096-404e-ad8e-11cff5033907,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABU9,"69 days, 01:26:54.630",null
PTT-TH-HO-Auditorium-AP3802I-7,3c44fbb4-6a44-4a0b-84a9-60a5d368a2e7,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABU0,"69 days, 01:29:10.370",null
PTT-TH-HO-Auditorium-AP3802I-8,e92d25a3-baf0-48ed-9e8a-998fcf206986,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABU7,"69 days, 01:22:14.630",null
PTT-TH-HO-B1-FL10-AP3802I-1,b10d6e5c-6fbf-4f13-8cc2-505e40c0fd36,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ACEK,"69 days, 01:23:42.580",null
PTT-TH-HO-B1-FL10-AP3802I-2,006c8b20-a129-44be-a4ae-c22648efeabe,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABVU,"69 days, 01:26:33.350",null
PTT-TH-HO-B1-FL10-AP3802I-3,32145e51-649a-4cae-8504-fb6ef0c379ee,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABXQ,"69 days, 01:21:36.550",null
PTT-TH-HO-B1-FL10-AP3802I-4,c230a10e-b599-4a35-bbe6-f49de3dba332,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABWZ,"69 days, 01:30:02.440",null
PTT-TH-HO-B1-FL10-AP3802I-5,7f3f4fdd-ff4e-45bb-be2d-6f98997936fb,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302ABYZ,"69 days, 01:24:38.200",null
PTT-TH-HO-B1-FL10-AP3802I-6,3788ff4d-134a-43dc-b5ce-a0696e0b7708,,Unified AP,AIR-AP3802I-S-K9,ACCESS,FGL2302AC2C,"69 days, 01:19:24.510",null
